hari_ke,jenis_lapak,level_pemain,harga_jual,budget_npc,panjang_antrean,rating_pasar,keputusan
1,1,1,6500,20633,0,0.50,Beli
1,1,1,6500,15099,0,0.00,Beli
1,1,1,6500,13124,0,2.50,Beli
1,1,1,6500,14460,0,1.67,Beli
1,1,1,6500,21583,0,2.00,Beli
1,1,1,6500,24398,0,2.50,Beli
1,1,1,6500,18093,0,2.50,Beli
1,1,1,6500,20776,0,2.50,Beli
1,1,1,6500,17310,1,2.50,Beli
1,1,2,6500,11855,0,2.50,Beli
1,1,2,6500,12970,1,2.50,Beli
2,1,2,6500,17947,0,2.75,Beli
2,1,2,6500,18226,1,2.75,Beli
2,1,2,6500,18316,1,2.75,Beli
2,1,2,6500,24557,1,2.75,Beli
2,1,2,6500,24230,1,2.75,Beli
2,1,2,6500,15294,1,2.86,Beli
2,1,2,6500,20593,2,2.73,Beli
2,1,2,6500,11701,2,2.83,Beli
2,1,2,6500,14640,2,2.92,Beli
2,1,2,6500,11728,2,3.00,Beli
2,1,2,6500,19272,3,3.00,Beli
2,1,2,6500,13854,3,3.08,Beli
2,1,2,6500,20068,4,2.96,Beli
2,1,2,6500,23390,3,3.10,Beli
2,1,2,6500,22823,3,3.17,Beli
2,1,2,6500,15654,4,3.17,Beli
2,1,2,6500,21203,4,3.23,Beli
2,1,2,6500,18686,4,3.09,Beli
2,1,2,6500,13607,4,3.09,Beli
2,1,2,6500,12701,5,3.14,Beli
2,1,2,6500,16982,5,3.19,Beli
2,1,3,6500,10202,5,3.11,Beli
2,1,3,6500,18954,6,3.16,Beli
3,1,3,6500,19262,0,3.54,Beli
3,1,3,5000,21779,0,3.54,Beli
3,1,3,6500,13910,1,3.54,Beli
3,1,3,6500,21689,1,3.54,Beli
3,1,3,6500,20846,1,3.54,Beli
3,1,3,5000,10063,0,3.54,Beli
3,1,3,5000,7410,1,3.54,Beli
3,1,3,6500,17673,1,3.54,Beli
3,1,3,5000,19972,1,3.54,Beli
3,1,3,5000,15189,2,3.57,Beli
3,1,3,6500,19262,2,3.57,Beli
3,1,3,6500,19839,2,3.60,Beli
3,1,3,5000,14346,2,3.60,Beli
3,1,3,6500,17752,3,3.60,Beli
3,1,3,6500,19695,3,3.60,Beli
3,1,3,6500,22960,4,3.63,Beli
3,1,3,6500,18788,3,3.65,Beli
3,1,3,5000,13339,0,3.68,Beli
3,1,3,5000,23757,1,3.70,Beli
3,1,3,5000,24658,1,3.73,Beli
3,1,3,6500,18717,1,3.71,Beli
3,1,3,5000,16460,1,3.71,Beli
3,1,3,6500,23252,2,3.71,Beli
3,1,3,6500,24405,2,3.75,Beli
3,1,3,6500,16069,3,3.75,Beli
3,1,3,6500,20148,3,3.67,Beli
3,1,3,6500,16859,3,3.64,Beli
3,1,3,6500,14438,4,3.64,Beli
3,1,3,6500,12307,4,3.68,Beli
3,1,3,5000,17905,0,3.68,Beli
3,1,3,6500,17815,5,3.68,Beli
3,1,3,6500,15434,5,3.64,Beli
3,1,3,5000,18837,0,3.61,Beli
3,1,4,5000,7938,0,3.65,Beli
4,1,4,7500,22914,0,3.77,Beli
4,1,4,7500,14733,1,3.77,Beli
4,1,4,7500,23321,1,3.77,Beli
4,1,4,7500,18243,2,3.77,Beli
4,1,4,7500,20170,0,3.77,Beli
4,1,4,7500,15414,1,3.77,Beli
4,1,4,7500,22917,2,3.77,Beli
4,1,4,7500,16842,2,3.77,Beli
4,1,4,7500,12229,3,3.77,Beli
4,1,4,7500,24722,4,3.77,Beli
4,1,4,7500,16859,4,3.77,Beli
4,1,4,7500,11060,4,3.80,Beli
4,1,4,7500,22051,0,3.80,Beli
4,1,4,7500,15417,1,3.82,Beli
4,1,4,7500,21411,0,3.82,Beli
4,1,4,7500,9342,1,3.82,Beli
4,1,4,7500,20395,2,3.82,Beli
4,1,4,7500,16432,4,3.82,Beli
4,1,4,7500,22574,0,3.84,Beli
4,1,4,7500,20482,2,3.84,Beli
4,1,4,7500,17222,2,3.85,Beli
4,1,4,7500,13025,3,3.85,Beli
4,1,4,7500,10996,3,3.85,Beli
4,1,4,7500,13490,0,3.85,Beli
4,1,4,7500,22688,3,3.88,Beli
4,1,4,7500,15760,3,3.89,Beli
4,1,4,7500,9359,0,3.89,Beli
4,1,4,7500,12382,4,3.89,Beli
4,1,4,7500,17051,1,3.89,Beli
4,1,4,7500,11099,4,3.91,Beli
4,1,4,7500,8932,1,3.91,Beli
4,1,4,7500,19158,4,3.94,Beli
4,1,4,7500,13845,4,3.97,Beli
4,1,4,7500,5525,0,3.97,Terlalu_Mahal
4,1,4,7500,1432,0,3.98,Terlalu_Mahal
4,1,4,7500,14557,4,3.99,Beli
4,1,4,7500,17594,0,3.95,Beli
4,1,4,7500,19513,5,3.95,Beli
4,1,4,7500,22130,5,3.93,Beli
4,1,4,7500,10415,0,3.93,Beli
4,1,4,7500,14485,0,3.96,Beli
4,1,4,7500,17816,0,3.96,Beli
4,1,4,7500,12321,1,3.96,Beli
4,1,5,7500,7057,0,4.00,Terlalu_Mahal
4,1,5,7500,12013,0,4.02,Beli
4,1,5,7500,14630,0,4.05,Beli
4,1,5,7500,4513,1,4.05,Terlalu_Mahal
1,1,1,6500,13154,0,0.50,Beli
1,1,1,6500,21797,0,0.50,Beli
1,1,1,6500,21687,0,5.00,Beli
1,1,1,6500,18082,1,5.00,Beli
1,1,1,6500,18567,2,2.50,Beli
1,1,1,6500,13593,2,3.33,Beli
1,1,1,6500,13281,3,2.50,Beli
1,1,1,6500,23058,3,2.50,Beli
1,1,1,6500,24055,3,2.50,Beli
1,1,1,6500,13663,2,2.86,Beli
1,1,2,6500,10235,2,3.13,Beli
1,1,2,6500,20518,2,3.00,Beli
1,1,2,6500,19753,2,2.92,Beli
1,1,2,6500,15608,2,2.92,Beli
1,1,2,6500,10279,3,2.86,Beli
1,1,2,6500,19791,3,3.00,Beli
1,1,2,6500,11254,4,3.00,Beli
